tag,attempt,copied_csv
hybrid_wsn_invTrue,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_wsn_invTrue/hybrid_wsn_invTrue_attempt1_fedprox_20260303_034933.csv
bandwidth_first_wsn_invTrue,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/bandwidth_first_wsn_invTrue/bandwidth_first_wsn_invTrue_attempt1_fedprox_20260303_040428.csv
energy_first_wsn_invTrue,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/energy_first_wsn_invTrue/energy_first_wsn_invTrue_attempt1_fedprox_20260303_041857.csv
hybrid_jitter_invFalse,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_jitter_invFalse/hybrid_jitter_invFalse_attempt1_fedprox_20260303_043101.csv
hybrid_jitter_invTrue,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_jitter_invTrue/hybrid_jitter_invTrue_attempt1_fedprox_20260303_044559.csv
sync_jitter_invTrue,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/sync_jitter_invTrue/sync_jitter_invTrue_attempt1_fedprox_20260303_050126.csv
async_jitter_invTrue,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/async_jitter_invTrue/async_jitter_invTrue_attempt1_fedprox_20260303_051634.csv
bridge_free_jitter_invTrue,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/bridge_free_jitter_invTrue/bridge_free_jitter_invTrue_attempt1_fedprox_20260303_053143.csv
bandwidth_first_jitter_invTrue,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/bandwidth_first_jitter_invTrue/bandwidth_first_jitter_invTrue_attempt1_fedprox_20260303_054653.csv
energy_first_jitter_invTrue,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/energy_first_jitter_invTrue/energy_first_jitter_invTrue_attempt1_fedprox_20260303_060053.csv
hybrid_wsn_invFalse,1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_wsn_invFalse/hybrid_wsn_invFalse_attempt1_fedprox_20260303_061333.csv
